set_id,year,pieces,t1,descr
336-1,1968,76,Classic,Fire Engine
Jan-65,2011,37,Town,Moon Buggy
Jan-66,2011,164,Town,Satellite Launcher
Jan-67,2011,230,Town,Space Shuttle
Jan-68,2011,498,Town,Rocket Launch Center
337-1,1987,225,Universal Building Set,Basic Building Set
337-2,1969,92,Classic,Truck with Crane and Caterpillar Track
Jan-80,2003,2,Adventurers,Johnny Thunder Chupa Chups Promotional
338-1,1970,74,Legoland,Ambulance
Jan-81,2003,5,Adventurers,Lord Sam Sinister Chupa Chups Promotional
338-2,1979,33,Fabuland,Blondi the Pig and Taxi Station
Jan-82,2003,4,Adventurers,Jing Lee the Wanderer Chupa Chups Promotional
Jan-83,2003,6,Town,Chef
Jan-84,2003,4,Train,Train Worker Chupa Chups Promotional
Jan-85,2003,6,Train,Conductor Charlie
Jan-86,2003,4,Island Xtreme Stunts,Xtreme Stunts Pepper Roni Chupa Chups Promotional
Jan-87,2003,4,Island Xtreme Stunts,Xtreme Stunts Brickster Chupa Chups Promotional
Jan-88,2003,4,Island Xtreme Stunts,Xtreme Stunts Snap Lockitt Chupa Chups Promotional
Jan-89,2003,7,Sports,Skateboarder Bill Chupa Chups Promotional
Jan-90,2003,5,Sports,Basketball Street Player Chupa Chups Promotional
Jan-91,2003,9,Alpha Team,"Dash, Mission Deep Sea, Chupa Chups Promotional"
3月4日,1973,191,Universal Building Set,Basic Set
340-1,1985,220,Universal Building Set,Basic Building Set
Jan-01,2000,24,Sports,Shoot 'n' Score - without ZIDANE / Adidas Minifig
Feb-01,2000,24,Sports,Shoot 'n' Score - with ZIDANE / Adidas Minifig
340-2,1978,277,Building Set with People,Fire Trucks
Jan-02,2000,60,Sports,Grandstand with Lights
340-3,1968,74,Classic,Railroad Control Tower
Jan-03,2000,80,Sports,Fans' Grandstand with Scoreboard
Jan-04,2000,130,Sports,Black Bus
Jan-05,2000,130,Sports,Blue Bus
Jan-06,2000,130,Sports,Americas Bus
Jan-07,2000,130,Sports,Red Bus
Jan-08,2000,224,Sports,Super Sports Coverage
Jan-09,2000,293,Sports,Championship Challenge
Feb-09,2000,1,Sports,Championship Challenge - Special Edition with Orange Players
Mar-09,2000,293,Sports,Championship Challenge
Jan-10,2000,52,Sports,Field Expander
341-1,1968,123,Classic,Warehouse
Jan-11,2000,131,Sports,Team Transport Bus
341-2,1979,115,Fabuland,Cathy Cat's & Morty Mouse's Cottage
Jan-12,2000,24,Sports,Point Shooting
Jan-13,2000,27,Sports,Goal Keeper
Jan-14,2000,19,Sports,Precision Shooting
Jan-16,2001,67,Sports,Women's Team
Jan-18,2001,24,Sports,Point Shooting
Jan-19,2001,23,Sports,Precision Shooting
Jan-20,2002,387,Sports,Championship Challenge II
Feb-20,2003,387,Sports,Championship Challenge II - FC Bayern Promo Edition
Mar-20,2002,387,Sports,Championship Challenge II - L'Equipe de France Promo Edition
Apr-20,2004,387,Sports,Championship Challenge II - Sports Edition
342-1,1968,191,Classic,Station
Jan-21,2002,224,Sports,3 v 3 Shootout
Jan-22,2002,110,Sports,Shoot 'N Save (non-promo)
Feb-22,2003,114,Sports,Shoot 'N Save (FC Bayern Promo Edition)
Jan-23,2002,44,Sports,Freekick Frenzy
Jan-24,2002,36,Sports,Target Practice
Jan-25,2002,568,Sports,Grand Championship Cup - U.S. Men's Team Cup Edition
Feb-25,2002,568,Sports,Grand Championship Cup
Jan-26,2002,131,Sports,Team Transport Bus Adidas Edition
Jan-27,2003,55,Sports,NBA Slam Dunk
Jan-28,2003,39,Sports,One vs One Action
Jan-29,2003,82,Sports,Ultimate Defense
Jan-30,2002,70,Sports,Spin & Shoot
343-1,1968,147,Classic,Train Ferry
Jan-31,2003,186,Sports,Streetball 2 vs 2
Jan-32,2003,450,Sports,NBA Challenge
Jan-33,2003,490,Sports,NBA Ultimate Arena
Jan-38,1999,93,Town,McDonald's Restaurant
Jan-39,2000,105,Town,Spy Runner
Jan-40,2003,71,Sports,NBA Jam Session Co-Pack
344-1,1969,77,Legoland,Bungalow
344-2,1979,80,Fabuland,Service Station
Jan-42,1998,104,Town,"Legoland California Truck, Limited Edition"
Jan-44,2000,25,Bulk Bricks,2 x 4 Ridge Roof Tiles Steep Sloped Black
Jan-45,2000,25,Bulk Bricks,2 x 4 Ridge Roof Tiles Steep Sloped Red
Jan-46,2000,25,Bulk Bricks,2 x 2 Window White
Jan-47,2000,25,Bulk Bricks,1 x 3 x 4 Wall Element Transparent Blue (Train Window)
Jan-48,2000,20,Bulk Bricks,1 x 4 x 5 Black Window Frames with Clear Panes
Jan-49,2000,10,Bulk Bricks,1 x 4 x 6 Black Door Frame with Transparent Blue Panes
Jan-50,2000,2899,Sculptures,Statue of Liberty
345-1,1969,132,Legoland,House with Mini Wheel Car
Jan-51,2001,572,Sculptures,Sopwith Camel
345-2,1993,135,Universal Building Set,Small Bucket for Her
Jan-53,2000,100,Bulk Bricks,2 x 2 Black Bricks
Jan-54,2003,100,Bulk Bricks,2 x 2 Light Gray Bricks
Jan-55,2003,100,Bulk Bricks,2 x 2 White Bricks
Jan-56,2000,100,Bulk Bricks,2 x 2 Dark Green Bricks
Jan-57,2000,100,Bulk Bricks,2 x 2 Red Bricks
Jan-58,2000,50,Bulk Bricks,2 x 4 Black Bricks
Jan-59,2003,50,Bulk Bricks,2 x 4 Light Gray Bricks
Jan-60,2003,50,Bulk Bricks,2 x 4 White Bricks
Jan-61,2000,50,Bulk Bricks,2 x 4 Dark Green Bricks
346-2,1969,167,Legoland,House with Car
Jan-62,2000,50,Bulk Bricks,2 x 4 Red Bricks
Jan-63,2000,25,Bulk Bricks,2 x 8 Black Bricks
Jan-64,2003,25,Bulk Bricks,2 x 8 Light Gray Bricks
Jan-65,2003,25,Bulk Bricks,2 x 8 White Bricks
Jan-66,2000,25,Bulk Bricks,2 x 8 Dark Green Bricks
Jan-67,2000,25,Bulk Bricks,2 x 8 Red Bricks
Jan-68,2000,50,Bulk Bricks,1 x 4 Black Bricks
Jan-69,2003,50,Bulk Bricks,1 x 4 Light Gray Bricks
Jan-70,2003,50,Bulk Bricks,1 x 4 White Bricks
347-1,1970,205,Legoland,Fire Station with Mini Cars
Jan-71,2000,50,Bulk Bricks,1 x 4 Dark Green Bricks
347-2,1987,330,Universal Building Set,Basic Building Set
Jan-72,2000,50,Bulk Bricks,1 x 4 Red Bricks
347-3,1979,97,Fabuland,Doc David's Hospital
Jan-73,2000,50,Bulk Bricks,1 x 6 Black Bricks
Jan-74,2000,50,Bulk Bricks,1 x 6 Light Gray Bricks
Jan-75,2000,50,Bulk Bricks,1 x 6 White Bricks
Jan-76,2000,50,Bulk Bricks,1 x 6 Dark Green Bricks
Jan-77,2000,50,Bulk Bricks,1 x 6 Red Bricks
Jan-78,2000,25,Bulk Bricks,1 x 8 Black Bricks
Jan-79,2000,25,Bulk Bricks,1 x 8 Light Grey Bricks
Jan-80,2003,25,Bulk Bricks,1 x 8 White Bricks
348-1,1971,38,Legoland,Garage with Automatic Doors
Jan-81,2000,25,Bulk Bricks,1 x 8 Dark Green Bricks
Jan-82,2000,25,Bulk Bricks,1 x 8 Red Bricks
Jan-83,2000,100,Bulk Bricks,2 x 4 Black Plates
Jan-84,2000,100,Bulk Bricks,2 x 4 White Plates
Jan-85,2000,100,Bulk Bricks,2 x 4 Red Plates
Jan-86,2000,50,Bulk Bricks,1 x 6 Black Plates
Jan-87,2000,50,Bulk Bricks,1 x 6 White Plates
Jan-88,2000,50,Bulk Bricks,1 x 6 Red Plates
Jan-89,2000,25,Bulk Bricks,2 x 8 Black Plates
Jan-90,2000,25,Bulk Bricks,2 x 8 White Plates
349-1,1971,81,Legoland,Swiss Chalet
Jan-91,2000,25,Bulk Bricks,2 x 8 Red Plates
Jan-92,2000,100,Bulk Bricks,2 x 2 Black Smooth Tiles
Jan-93,2000,100,Bulk Bricks,2 x 2 White Smooth Tiles
Jan-94,2000,100,Bulk Bricks,2 x 2 Red Smooth Tiles
Jan-95,2003,100,Bulk Bricks,2 x 2 Roof Tiles Steep Sloped Black
Jan-96,2003,100,Bulk Bricks,2 x 2 Roof Tiles Steep Sloped Red
Jan-97,2003,50,Bulk Bricks,2 x 4 Roof Tile Black
Jan-98,2000,50,Bulk Bricks,2 x 4 Roof Tile Red
Jan-99,2000,25,Bulk Bricks,Small Spruce Trees
Jan-00,2003,4,Sports,Kobe Bryant
350-1,1971,126,Legoland,Spanish Villa
Jan-01,1998,26,Znap,Jet-Car
350-2,1985,315,Universal Building Set,Basic Building Set
Jan-02,1998,24,Znap,Bi-Wing
350-3,1979,134,Fabuland,Town Hall with Leonard Lion & Friends
Jan-03,1998,22,Znap,Mini-Sonic
Jan-04,1998,30,Znap,Hook-Truck
Jan-05,1999,23,Znap,Aeroplane
Jan-06,1999,26,Znap,Motorbike
Jan-07,2001,25,Bulk Bricks,1 x 4 x 3 Wall Element Clear
Jan-08,2001,20,Bulk Bricks,1 x 4 x 5 Black Window Frame with Blue Pane
Jan-35,1977,2,Service Packs,Screws for Motor Case
Jan-10,1998,25,Znap,Polybag
351-1,1971,170,Legoland,Loader Hopper with Truck
Jan-20,1999,39,Znap,Forklift
352-1,1972,142,Legoland,Windmill and Lorry
Jan-21,1999,35,Znap,Racer
Jan-29,2003,4,Sports,Pau Gasol
Jan-30,2003,4,Sports,Tony Parker
353-1,1972,153,Legoland,Terrace House with Car and Garage
Jan-31,1998,29,Znap,Tri-Bike
Jan-32,1998,27,Znap,Jet-Ski
Jan-35,2003,68,Sports,Skateboard Street Park
Jan-36,2003,81,Sports,Snowboard Big Air Comp
Jan-37,2003,91,Sports,Skateboard Vert Park Challenge
Jan-38,2003,196,Sports,Snowboard Boarder Cross Race
Jan-40,2003,45,Sports,Puck Passer
354-1,1972,173,Legoland,Police Heliport
Jan-41,2003,46,Sports,Slap Shot
Jan-42,2003,47,Sports,Flip Shot
Jan-43,2003,46,Sports,Slammer Goalie
Jan-44,2003,153,Sports,Hockey Game Set
Jan-45,2003,151,Sports,Hockey Puck Feeder
Jan-48,2003,19,Sports,Slam Dunk Trainer
Feb-48,2003,19,Sports,Slam Dunk Trainer (Kabaya Promotional)
Jan-49,2003,17,Sports,Practice Shooting
Feb-49,2003,17,Sports,Practice Shooting (Kabaya Promotional)
Jan-50,2003,17,Sports,Jump and Shoot
Feb-50,2003,17,Sports,Jump and Shoot (Kabaya Promotional)
355-1,1972,332,Legoland,Town Center Set with Roadways
Jan-51,1998,80,Znap,Dino-Jet
355-2,1981,160,Universal Building Set,Basic Set
Jan-52,1998,126,Znap,Hover Sub with motor
Jan-54,1999,79,Znap,Helicopter
Jan-55,1999,262,Znap,Jeep
Jan-57,2004,33,Sports,Blue Player & Goal
Jan-58,2004,33,Sports,Red Player & Goal
Jan-59,2004,40,Sports,Red & Blue Player
Jan-60,2003,15,Sports,NBA Collectors #1
356-1,1973,150,Legoland,Swiss Villa
Jan-61,2003,15,Sports,NBA Collectors #2
356-2,1987,331,Universal Building Set,Basic Building Set with Storage Case
Jan-62,2003,16,Sports,NBA Collectors #3
Jan-63,2003,15,Sports,NBA Collectors #4
Jan-64,2003,15,Sports,NBA Collectors #5
Jan-65,2003,15,Sports,NBA Collectors #6
Jan-66,2003,15,Sports,NBA Collectors #7
Jan-67,2003,15,Sports,NBA Collectors #8
Jan-68,2006,24,Sports,Soccer Target Practice
Jan-69,2006,382,Sports,Grand Soccer Stadium
Jan-70,2006,199,Sports,Street Soccer
357-1,1973,239,Legoland,Fire Station
Jan-71,1998,143,Znap,Blackmobile with motor
Jan-73,2007,9,Sports,Superstar Figure 
Jan-78,2004,395,Sports,NHL Championship Challenge
Jan-79,2004,119,Sports,Street Hockey
358-1,1973,276,Legoland,Rocket Base
Jan-81,1998,172,Znap,Formula Z Car in Storage Case
Jan-82,1999,258,Znap,Ant
Jan-84,2003,47,Sports,Rapid Return
Jan-85,2003,224,Sports,Snowboard Super Pipe
359-1,1972,1,Universal Building Set,Environment Plate
Jan-91,1998,265,Znap,Heli-Transport (Rota-Beast)
Jan-98,2005,2000,Creator,XXL 2000 Canister
Jan-99,2005,250,Duplo,XXL 250 Canister
3月6日,1970,158,Minitalia,Medium House Set
Jan-00,2005,1201,Creator,Build Your Own House Tub
360-1,1974,211,Legoland,Gravel Quarry
Jan-01,1981,7,Fabuland,Elton Elephant
Jan-02,1980,4,Fabuland,Bianca Lamb and Stroller
Jan-03,1981,4,Fabuland,Boris Bulldog and Mailbox
Jan-04,1980,4,Fabuland,Marc Monkey and Wheelbarrow
361-1,1974,214,Legoland,Tea Garden Cafe with Baker's Van
361-2,1979,79,Town,Garage
Jan-12,2002,32,Duplo,Wild Animals
Jan-15,1981,4,Fabuland,Percy Pig's Wheelbarrow
362-1,1975,211,Legoland,Windmill
Jan-22,1988,12,Fabuland,Rowboat
Jan-23,1988,25,Fabuland,Beauty Salon
Jan-24,1985,24,Fabuland,Flower Car
Jan-25,1985,9,Fabuland,Aeroplane
Jan-26,1983,17,Fabuland,Roger Raccoon's Sports Car
Jan-27,1983,24,Fabuland,Bonnie Rabbit's Flower Truck
Jan-28,1981,5,Fabuland,Perry Panda & Chester Chimp
Jan-29,1981,17,Fabuland,Barney Bear
Jan-30,1984,9,Fabuland,Sports Airplane
363-1,1975,229,Legoland,Hospital with Figures
Jan-31,1985,27,Fabuland,Orchestra
Jan-33,1986,14,Fabuland,Motor Boat
Jan-34,1980,18,Fabuland,Charlie Crow's Carry-All
Jan-35,1981,31,Fabuland,Bonnie Bunny's Camper
Jan-36,1987,21,Fabuland,Bedroom
Jan-37,1983,15,Fabuland,Gertrude Goat's Painter's Truck
Jan-38,1983,17,Fabuland,Buster Bulldog's Fire Engine
Jan-39,1984,13,Fabuland,Police Car
364-1,1975,515,Legoland,Harbour Scene
Jan-41,1985,20,Fabuland,Car & Camper
Jan-42,1985,18,Fabuland,Fire Engine
Jan-43,1985,12,Fabuland,Police Car
Jan-44,1986,6,Fabuland,Mayor's Car
Jan-45,1987,26,Fabuland,Classroom
Jan-46,1988,54,Fabuland,Kitchen
Jan-47,1989,44,Fabuland,School Room
Jan-48,2011,172,Town,Police Chase
365-1,1975,572,Factory,Wild West Scene
365-2,1990,337,Universal Building Set,Build-N-Store Chest
Jan-54,1982,44,Fabuland,Country Cottage
Jan-58,2011,219,Town,Police Helicopter
Jan-59,1987,17,Fabuland,Play Ground
Jan-60,1985,28,Fabuland,Fisherman's Cottage
366-1,1981,184,Universal Building Set,Basic Set
Jan-61,2011,408,Town,Bank & Money Transfer
Jan-62,1987,33,Fabuland,Bus
Jan-63,1989,21,Fabuland,Max Mouse's Carousel
Jan-64,1984,63,Fabuland,Police Station
Jan-65,1980,38,Fabuland,Ice Cream with Scooter
Jan-66,1982,29,Fabuland,Petrol Station
Jan-67,1982,63,Fabuland,Bakery
Jan-68,1986,45,Fabuland,Merry-Go-Round
Jan-69,1982,32,Fabuland,Fire & Police Station
Jan-70,1984,54,Fabuland,Service Station
367-1,1975,363,Legoland,Moon Landing
Jan-71,1984,55,Fabuland,Airport
Jan-72,1982,60,Fabuland,Hotel / Restaurant
Jan-73,1985,64,Fabuland,Steamboat
Jan-74,1987,40,Fabuland,Bonnie Bunny's New House
Jan-75,1987,106,Fabuland,General Store
Jan-76,1989,41,Fabuland,Catherine Cat's Fun Park
Jan-77,2011,826,Train,Red Cargo Train
Jan-78,1982,114,Fabuland,The Fabuland House
Jan-79,1986,80,Fabuland,Mill with Shop
Jan-80,1988,24,Fabuland,Camping Caravan
368-1,1976,148,Legoland,Taxi Station
Jan-81,1985,100,Fabuland,Amusement Park
Jan-82,1987,153,Fabuland,Fire Station
Jan-83,1988,90,Fabuland,Amusement Park
369-1,1976,273,Legoland,Coast Guard Station
370-1,1976,300,Legoland,Police Headquarters
Jan-01,1982,3,Fabuland,Fisherman Cornelius Cat
Jan-03,1982,3,Fabuland,Peter Pig the Cook
Jan-06,1982,3,Fabuland,Elmer Elephant
Jan-07,1982,3,Fabuland,Clover Cow
Jan-08,1982,4,Fabuland,Rufus Rabbit
Jan-09,1983,3,Fabuland,"Henry Horse, Carpenter"
Jan-10,1983,3,Fabuland,Peter Panda Takes a Bath
371-1,1971,47,Legoland,Tipper Truck
Jan-11,1984,5,Fabuland,Pierre Pig and His Tuba
371-2,1967,314,Other,Motorized Truck Set
Jan-12,1984,5,Fabuland,Robby Rabbit and Accordion
371-3,1977,115,Legoland,Seaplane
Jan-13,1984,8,Fabuland,Drummer Gabriel Monkey
Jan-14,1985,7,Fabuland,Bricklayer Oscar Orangutan
Jan-15,1985,19,Fabuland,Flower Stand
Jan-16,1985,9,Fabuland,Office
Jan-17,1985,9,Fabuland,Fisherman
Jan-18,1986,5,Fabuland,Small Cafe
Jan-19,1987,5,Fabuland,Bus Stop
372-1,1977,248,Factory,Texas Rangers
Jan-21,1988,10,Fabuland,Clive Crocodile on Skateboard
372-2,1971,53,Factory,Tow Truck
Jan-22,1998,164,Adventurers,"Treasure Tomb, TRU exclusive"
Jan-23,2000,1849,Sculptures,Lego Minifigure
Jan-24,2001,1538,Sculptures,Lego Dragon
Jan-25,2003,100,Bulk Bricks,1 x 2 Brick Light Gray
Jan-26,2003,100,Bulk Bricks,1 x 2 Brick Dark Gray
Jan-27,2000,100,Bulk Bricks,1 x 2 Brick Tan
Jan-29,2000,50,Bulk Bricks,2 x 4 Dark Gray Bricks
Jan-30,2000,50,Bulk Bricks,2 x 4 Tan Bricks
373-1,1977,459,Legoland,Offshore Rig with Fuel Tanker
Jan-31,2000,87,Seasonal,Pumpkin Pack
373-2,1971,65,Legoland,Ambulance
Jan-32,2000,24,Bulk Bricks,Castle Expander Pack
Jan-33,2000,20,Bulk Bricks,Gray Windows with Clear Panes
Jan-34,2000,20,Bulk Bricks,Train Windows with Panes Blue
Jan-35,2000,20,Bulk Bricks,Grey Train Doors with Panes
Jan-36,2000,20,Bulk Bricks,Blue Train Doors with Panes
Jan-37,2000,15,Bulk Bricks,Train Accessories
Jan-38,2000,10,Bulk Bricks,Large Spruce Trees
Jan-39,2002,629,Castle,Blacksmith Shop
Jan-40,2001,66,Train,Small Locomotive
374-1,1978,321,Town,Fire Station
Jan-41,2001,91,Train,Large Locomotive (base unit without color trim elements)
374-2,1971,73,Legoland,Fire Engine
Jan-42,2001,41,Train,Tender Basis (without color trim elements)
Jan-43,2001,106,Train,Locomotive Blue Bricks
Jan-44,2001,106,Train,Locomotive Green Bricks
Jan-45,2001,106,Train,Locomotive Black Bricks
Jan-46,2001,106,Train,Locomotive Brown Bricks
Jan-47,2001,106,Train,Locomotive Gray Bricks
Jan-48,2001,4,Service Packs,Light Unit for Train
Jan-50,2001,48,Service Packs,Life on Mars Accessories
Jan-51,2003,100,Bulk Bricks,1 x 2 Brown Bricks
375-2,1978,774,Castle,Castle
Jan-52,2002,50,Bulk Bricks,1 x 6 Brown Bricks
375-3,1971,127,Factory,Refrigerator Truck and Trailer
Jan-53,2003,100,Bulk Bricks,2 x 2 Brown Bricks
Jan-54,2003,50,Bulk Bricks,2 x 4 Brown Bricks
Jan-55,2003,50,Bulk Bricks,2 x 4 Roof Tile Brown
Jan-56,2003,25,Bulk Bricks,2 x 4 Brown Ridge Roof Tiles Steep Sloped
Jan-58,1998,600,Universal Building Set,35th Anniversary Bucket
Jan-59,1998,1200,Universal Building Set,35th Anniversary Tub
Jan-60,1998,417,Freestyle,35th Anniversary Bucket
376-1,1971,91,Legoland,Low-Loader with Excavator
Jan-61,1998,842,Freestyle,35th Anniversary Tub
376-2,1978,236,Town,Town House with Garden
377-1,1978,190,Town,Shell Service Station
377-2,1971,90,Legoland,Crane with Float Truck
378-1,1972,35,Factory,Tractor
Jan-81,1982,5,Fabuland,Maximillian Mouse
Jan-82,1982,5,Fabuland,Photographer Patrick Parrot
Jan-84,1982,5,Fabuland,Hugo Hog the Tinker
Jan-86,1982,7,Fabuland,Buzzy Bulldog the Postman
Jan-87,1983,13,Fabuland,"Hannah Hippopotamus, Gardener"
Jan-88,1983,15,Fabuland,Paulette Poodle's Living Room
Jan-89,1984,7,Fabuland,Police Motorcycle
379-1,1979,177,Town,Bus Station
Jan-91,1984,7,Fabuland,William Walrus
379-2,1972,93,Factory,Car and Caravan
Jan-92,1985,14,Fabuland,Bedroom
Jan-93,1985,11,Fabuland,Buzzy Bulldog's Mailbox
Jan-94,1985,16,Fabuland,Police Motorcycle
Jan-95,1985,26,Fabuland,Kitchen
Jan-96,1986,30,Fabuland,Small Bakery
Jan-97,1987,9,Fabuland,Fire Chief Barty Bulldog
Jan-98,1988,25,Fabuland,Hanna's Garden
Jan-00,2001,322,Mindstorms,Ultimate Builders Set
380-1,1971,7,Legoland,Village Set
Jan-01,2000,45,Mindstorms,Ultimate Accessories
Jan-03,1999,69,Mindstorms,Robotics Invention System Upgrade Kit (1.5)
Jan-04,2001,720,Mindstorms,"Robotics Invention System, Version 2.0"
Jan-05,2002,1,Mindstorms,Robotics Invention System Upgrade Kit (2.0)
Jan-06,2002,245,Spybiotics,Gigamesh G60
Jan-07,2002,203,Spybiotics,Snaptrax S45
Jan-08,2002,236,Spybiotics,Shadowstrike S70
Jan-09,2002,262,Spybiotics,Technojaw T55
381-1,1973,86,Legoland,Lorry and Fork Lift Truck
381-2,1979,372,Town,Police Headquarters
Jan-15,2011,95,SpongeBob SquarePants,Heroic Heroes of the Deep
Jan-16,2011,168,SpongeBob SquarePants,Glove World
Jan-17,2012,242,SpongeBob SquarePants,The Flying Dutchman
Jan-18,2012,469,SpongeBob SquarePants,Bikini Bottom Undersea Party
382-1,1973,91,Factory,Breakdown Truck and Car
Jan-25,2006,297,SpongeBob SquarePants,Krusty Krab
Jan-26,2006,445,SpongeBob SquarePants,Build-A-Bob
Jan-27,2006,576,SpongeBob SquarePants,Adventures in Bikini Bottom
Jan-28,2006,400,Avatar,Air Temple
Jan-29,2006,724,Avatar,Fire Nation Ship
Jan-30,2008,209,SpongeBob SquarePants,The Bikini Bottom Express
383-1,1973,102,Legoland,Truck with Excavator
Jan-31,2008,276,SpongeBob SquarePants,Rocket Ride
383-2,1979,210,Castle,Knight's Tournament
Jan-32,2008,235,SpongeBob SquarePants,The Emergency Room
Jan-33,2009,208,SpongeBob SquarePants,Krusty Krab Adventures
Jan-34,2009,423,SpongeBob SquarePants,Good Neighbors at Bikini Bottom
Jan-35,2009,119,Gear,Robo Champ
Jan-36,2009,109,Gear,Magikus
Jan-37,2009,142,Gear,Monster 4
Jan-38,2009,136,Gear,Lava Dragon
Jan-39,2009,167,Gear,Race 3000
Jan-40,2009,296,Gear,Pirate Code
384-1,1973,110,Factory,London Bus
Jan-41,2009,223,Gear,Minotaurus
Jan-42,2009,277,Gear,Lunar Command
Jan-43,2009,231,Gear,Ramses Pyramid
Jan-44,2009,341,Gear,Creationary
Jan-45,2010,118,Gear,Shave a Sheep
Jan-46,2010,88,Gear,UFO Attack
Jan-47,2010,95,Gear,Magma Monster
Jan-48,2010,118,Gear,Pirate Plank
Jan-49,2010,204,Gear,Orient Bazaar
Jan-50,2010,185,Gear,Meteor Strike
385-1,1976,57,Factory,Jeep CJ-5
Jan-51,2010,280,Gear,Atlantis Treasure
385-2,1990,448,Universal Building Set,Build-N-Store Chest
Jan-52,2011,80,Gear,Sunblock
Jan-53,2011,49,Gear,Banana Balance
Jan-54,2011,107,Gear,Frog Rush
Jan-55,2011,99,Gear,Ramses Return
Jan-56,2011,247,Gear,Ninjago
Jan-57,2011,101,Gear,Draida Bay
Jan-58,2011,230,Gear,Waldurk Forest
Jan-59,2011,223,Gear,Caverns of Nathuz
Jan-60,2011,312,Gear,Castle Fortaan
386-1,1976,142,Legoland,Helicopter and Ambulance
Jan-61,2011,216,Gear,LEGO Champion
Jan-62,2010,332,Gear,Hogwarts
Jan-63,2012,115,Gear,Kokoriko
Jan-64,2012,165,Gear,Mini Taurus
Jan-65,2012,247,Gear,City Alarm
Jan-66,2012,305,Gear,Star Wars Battle of Hoth
Jan-70,2007,29,Exo-Force,Takeshi Walker 1
387-1,1976,159,Legoland,Excavator and Dumper
Jan-71,2007,21,Exo-Force,Ha-Ya-To Walker
Jan-72,2007,29,Exo-Force,Robo Chopper
Jan-74,2012,245,Gear,Ilrion
Jan-85,2007,22,Exo-Force,Hikaru Little Flyer
Feb-85,2007,22,Exo-Force,Hikaru Little Flyer - Boxed Version
Mar-85,2007,1,Exo-Force,Hikaru Little Flyer - Duracell 12 pack AA Battery Promotion
Jan-86,2007,19,Exo-Force,Ryo Walker
Feb-86,2007,19,Exo-Force,Ryo Walker - Boxed Version
Mar-86,2007,1,Exo-Force,Ryo Walker - Duracell 12 pack AA Battery Promotion
Jan-88,1998,182,Freestyle,Three Eights
Jan-00,2000,20,Service Packs,Bracelet
390-1,1986,24,Universal Building Set,Helicopter
390-2,1975,199,Hobby Sets,1913 Cadillac
Jan-39,1977,1,Service Packs,Motor Gearbox
391-1,1975,236,Hobby Sets,1926 Renault
Jan-11,2000,0,Gear,Astronaut Key Chain
391-2,1986,22,Universal Building Set,Police Car
Jan-13,2000,0,Gear,Darth Vader Key Chain
391407-1,2014,21,Legends of Chima,Fire Spinner
Jan-14,2000,0,Gear,Luke Skywalker Key Chain
Jan-15,2000,0,Gear,Race Car Driver Key Chain
Jan-16,2000,0,Gear,Rock Raider Key Chain
Jan-17,2001,0,Gear,2 x 4 Brick - Red Key Chain
Jan-18,2002,0,Gear,Coast Guard Female Key Chain
Jan-20,2012,394,Gear,The Hobbit
392-1,1975,196,Hobby Sets,Formula 1
392-2,1986,30,Universal Building Set,Fire Engine
Jan-22,2000,0,Gear,Darth Maul Key Chain
Jan-23,2000,0,Gear,King Leo Key Chain
Jan-24,2001,0,Gear,Director Key Chain
Jan-25,2002,0,Gear,Brickster Key Chain
Jan-26,2002,0,Gear,Life on Mars Martian Key Chain
Jan-28,2002,5,Space,Sandy Moondust Mars Rover Mission Astrobot Female
Jan-29,2002,5,Space,Biff Starling Mars Rover Mission Astrobot Male
Jan-30,2012,45,Friends,Stephanie's Outdoor Bakery
393-1,1976,133,Hobby Sets,Norton Motorcycle
Jan-31,2012,39,Friends,Emma's Splash Pool
393-2,1986,29,Universal Building Set,Tow Truck
Jan-32,2012,83,Friends,Andrea鈥檚 Stage
Jan-33,2012,86,Friends,Olivia's Invention Workshop
Jan-34,2012,83,Friends,Mia鈥檚 Puppy House
Jan-35,2012,69,Friends,Stephanie鈥檚 Pet Patrol
Jan-36,2012,77,Friends,Emma鈥檚 Fashion Design Studio
Jan-37,2012,64,Friends,Olivia's Speedboat
Jan-38,2012,64,Friends,Andrea's Bunny House
Jan-39,2012,75,Friends,Mia's Bedroom
394-1,1976,142,Hobby Sets,Harley-Davidson 1000cc
Jan-42,2012,202,Friends,Heartlake Dog Show
Jan-48,2001,0,Gear,Stormtrooper Key Chain
395-1,1976,283,Hobby Sets,1909 Rolls-Royce
396-1,1976,428,Hobby Sets,Thatcher Perkins Locomotive
398-1,1978,973,Hobby Sets,U.S.S. Constellation
Jan-83,2002,0,Gear,Captain Roger Key Chain
4000001-1,2011,794,LEGO Brand Store,Moulding Machines
4000002-1,2011,174,Other,LOM Moulding 2011
4000005-1,2012,315,Other,Kornmarken Factory 2012
4000006-1,2012,278,Other,Production Kladno Campus 2012
4000007-1,2012,909,Other,Ole Kirk&#039;s House
4000008-1,2013,366,Other,LEGO Inside Tour Exclusive 2013 Edition 鈥?Villy Thomsen Truck
4000009-1,2013,285,LEGO Brand Store,HMV 2013 Production
40000-1,2009,159,Seasonal,Santa Claus in the Snow
4000010-1,2014,250,LEGO Brand Store,LEGO House
4000011-1,2014,327,LEGO Brand Store,Nyiregyhaza Factory
4000012-1,2012,618,Other,LEGO Inside Tour (LIT) Exclusive 2012 Edition - Piper Airplane
